artTitle,artContent,artUrl,boardID
這瓶髮油有人用過嗎？,看到有人分享269加購價我也來買了（就是愛撿便宜但查了評價確實還滿好用的而且有三種味道 也都可以試聞試聞後我選這瓶檸玫香 好喜歡期待我的頭髮也跟著變柔順😚😚,https://www.mobile01.com/topicdetail.php?f=301&t=6938299,時尚
[求救]casico oceanus 錶帶購買,10多年前跟版上買了oceanus t410黑色那隻，但是沒有拆下的錶帶，現在隨著手腕變粗有點太緊，有網友知道該怎麼辦嗎？找官方要價訂價的1/3買到錶鏈⋯ 我只想加一節。話說現在oceanus都沒了，真是時代在改變,https://www.mobile01.com/topicdetail.php?f=709&t=6936630,時尚
請教一下台北市哪裡有賣照片軍禮靴？,請教一下台北市哪裡有賣照片軍禮靴？最近在找軍禮靴，因不知道哪裡有賣軍禮靴，我在萬華區軍用品店找沒有,https://www.mobile01.com/topicdetail.php?f=598&t=6936632,時尚
適合男生的茶香調或果香調香水,開始接觸香水大概是最近一年的事對香材一竅不通都直接在櫃位上盲聞盲挑發現自己比較喜歡 茶香為基底的香水果香調也不排斥 但不要太甜比較偏好柑橘調吧目前經驗最喜歡的一支茶香調Roads 永恆之途前調：佛手柑、煙燻紅茶中調：茉莉花後調：零陵香豆各位有推的類似香調的香水推薦嗎？感激,https://www.mobile01.com/topicdetail.php?f=301&t=6936583,時尚
視差困擾 求推薦台南驗光眼鏡行,我從國中開始戴眼鏡，一開始兩眼度數差了100，那時候還沒什麼感覺，工作後視差就越來越大，就覺得原本戴的眼鏡看東西變得有些吃力後來就跟同事一起去可以快速配的眼鏡行配了一副，當下戴是還好，但戴了一段時間越覺得兩眼對不到焦，左右眼看到的東西是分開的，看電腦時眼睛很容易累，甚至有點頭暈的感覺後來回去調整時，店裡是說可能因為視差，因為我兩眼差快300度，又重新配了一副，但新的這副戴了半個月還是沒什麼改善…不曉得是不是這種快速配的地方不太專業??這樣下去真的是很困擾畢竟工作大部分都要使用電腦所以想換一家眼鏡行再重新配不曉得台南鄉親們有沒有推薦的專業驗光行可以提供給我,https://www.mobile01.com/topicdetail.php?f=595&t=6937802,時尚
隱形眼鏡濾藍光有用嗎？,最近才知道隱形眼鏡也有做濾藍光原本要買海昌 但那天剛好要的度數缺貨店員就推了某牌的濾藍光日拋戴起來是沒什麼差別只有鏡片不是完全透明，是帶有淡黃色的想問有無濾藍光真的對眼睛比較好嗎？還是只是智商稅？,https://www.mobile01.com/topicdetail.php?f=595&t=6936930,時尚
EDWIN牛仔褲直接現省1500!,剛剛去逛的，超划算分享給大家有需要的人趕快帶著舊牛仔褲去換1500抵用金!口說無憑我直接上圖我是看到中友DM來的DM有簡單講說拿舊褲可以換抵用金直接帶舊褲子跑來中友百貨現場看真的可以一件換1500抵用券我帶三件買三件直接算起來有打到大概6折左右吧而且還順便做了舊衣回收!哈現場另外有牛仔剪貼活動 拼成一個大大的台灣黑熊的樣子如果有小孩也可以順便帶小孩去玩拼貼我看現場蠻多親子的,https://www.mobile01.com/topicdetail.php?f=597&t=6937770,時尚
SEIKO PROSPEX 海洋文化系列 SRPF77 分享,原本手上有隻SEIKO SOLAR系列的太陽能表故障無法充電，送去表店看看能不能處理，剛好遇上表店正在促銷，在老闆與店員的強力腦波攻擊下，就意外剁手了。雖然不是什麼很特殊也不是什麼限量紀念表款，不過我覺得他是一款獲得感很強的表款，因為在這樣的價位它給你藍寶石錶鏡、泡泡放大鏡、星期(中、英)日期顯示、陶瓷表圈與類似GS的盤面雕花。在這樣級距內簡直沒有對手，加上似乎好像沒有人開箱，所以我就來分享推薦這款CP值爆表的表款模擬海洋的刻紋，雖然不如大精工那樣的精雕細琢，但在不同光線角度的變化下仍在手腕上熠熠生輝，深邃的海洋藍盤下有3隻飛翔的魟魚，而在光影的變化下若隱若現，更顯現出牠的優雅與神秘有人可能會說它是配置最基礎的4R36機芯，但在這樣價位下做工與用料這麼出色的表，實屬難得。不過我最喜愛最想要的終極目標是極地冰川藍的SPB299，不過價格卻翻倍了...這隻正好可以當作平替，暫時解毒。希望有機會能開箱,https://www.mobile01.com/topicdetail.php?f=719&t=6936972,時尚
EDIFICE HONDA TYPE-R ECB-2200HTR-1A限量聯名款開箱,這隻大概是CASIO近期來最受歡迎的限量錶了吧!以往EDIFICE有跟許多日本本車廠聯名許多賽車表，有些錶款甚至滯銷到現在仍可在網路商城買得到。而這支ECB-2200HTR-1A卻反常的超級熱銷，日本官網甚至在開賣當天中午就賣完了!!當然我身為普通人沒辦法跟那些專業代購人士PK，最後也只能溢價跟黃牛買了(對不起，我助長黃牛歪風)。原本我以為只有勞力士會溢價，原來CASIO大神也是跟勞力士一樣!不得不說，這款ECB-2200HTR-1A簡直是顏值巔峰阿!12點鐘印上了巨大又人人懼怕的本田紅標以外，太陽能板還印上TYPE-R車款專屬的蜂巢型進氣格柵白色皮錶帶還印上本田當家的傳奇車型代號錶帶背面則是麂皮材質配上紅色車縫線，象徵著超跑的內飾風格左側面錶殼與按鈕很有特色的設計，右側下方按鈕則是印上本田專屬的R標至於表盒，跟我之前買的本田冠軍60周年紀念錶相比LOW很多啊...黑與白的對撞色，永不退流行的風格很多玩家曾說，愛錶人士的收藏中一定會有一款G-SHOCK!可惜我已經過了喜愛G-SHOCK的年紀了，所以我認為應該要改成玩錶人士的收藏中一定會有CASIO的位置(海龜沒位置了，看來要再多買一盒表盒了),https://www.mobile01.com/topicdetail.php?f=709&t=6936943,時尚
開箱 - Tudor Royal (M28503-0003),32歲生日入手的第一只瑞士錶，先上圖：這是小弟首次到老王的店光顧，一進門就直接告訴年輕小姐自己想看的錶款型號，店員拿出來後基本上沒什麼介紹讓我自己慢慢看，也許有些人會覺得服務不周，但對我這「目的客」而言倒是還好。最後成交則是換男店員（應該是第二代）協助調整錶帶跟說明調校。原本另一個候選款是這只 BB S&G：（此圖轉載於帝舵官網），但實際上手覺得錶有點太厚了，於是作罷。說回來這只半金皇家吧，全新品，保卡為2023/11。實錶質感比官方照好上許多（可能沒被我拍出來），五鏈節錶帶貼手效果得宜。動儲38小時有點弱，但因我也就兩只機械錶每天輪流配戴，所以影響不大。另外38mm的羅馬數字完整呈現（看得舒服），41mm帶星期款更方便沒錯，但因會吃掉部分時標，對我而言在視覺上是有點可惜的。一樣都是盾牌，一樣都是半金，但一個代表東方，另個來自西方。,https://www.mobile01.com/topicdetail.php?f=718&t=6936033,時尚
solone 補水妝前精華終於買到啦！！！,前陣子大缺貨的solone 補水妝前精華終於買到啦！！我自己沒有特別跑很多地方找，只是這幾天逛藥妝店剛好看到缺貨好久的藥妝店補貨了就完全不猶豫的抓一條了（畢竟真的很便宜所以即便根本沒用過也要買回來試試看！！）之後幾天有使用到再來更新我自己的使用心得,https://www.mobile01.com/topicdetail.php?f=301&t=6937881,時尚
「開箱」 Alexander McQueen 零錢包 & VERSACE 副牌卡片夾,話說之前的錢包用了一段時間了興起了想換的念頭雖然現在電子支付十分地發達但我還是習慣用現金交易可想而知零錢就會變得很多正好看到了這個Alexander McQueen的零錢包與其說是零錢包不如說是小一點的化妝包應該可以裝很多的零錢另外也買了一個VERSAE JEANS COUTURE的卡片夾可以放卡片也可以放紙鈔十分地方便,https://www.mobile01.com/topicdetail.php?f=600&t=6938026,時尚
請問這錶的品牌,請問這錶是甚麼品牌我在網路搜尋過但上找不到,https://www.mobile01.com/topicdetail.php?f=376&t=6938326,時尚
皮革縫線孔裂開有辦法修復嗎,"如圖雖然不注意看很難看出來,但由於我知道那邊有個小縫就會很在意",https://www.mobile01.com/topicdetail.php?f=599&t=6938621,時尚
配眼鏡會害怕碰到哪些事?,好奇各位配眼鏡通常最怕什麼事我先說我自己遇到的爛事本人有高度近視 左右眼有一點視差當初去快取眼鏡行配的時候驗光師把我的左右眼的度數配反出去以後超級暈走樓梯差點踩空摔倒...其他人呢?,https://www.mobile01.com/topicdetail.php?f=595&t=6936783,時尚
Forerunner 965 spotify 撥客同步問題,"各位大大好，前陣子購入965，使用上都很不錯，一直以來都有同步撥客邊跑邊聽的習慣但是前兩天要新增撥客突然出現 "" 發生媒體錯誤"" ，我有試過重開機，重新登入spotify，還有重新安裝軟體都無法解決問題，但是其他一般撥放清單要同步是沒問題的請問有人也遇到一樣的狀況嗎？影片如下https://photos.app.goo.gl/iw63FwDUX3btCjSc8",https://www.mobile01.com/topicdetail.php?f=776&t=6938361,時尚
請問有誰知道這套衣服去哪買嗎,有人知道特套衣服去哪買嗎？尤其是上衣。好好看喔,https://www.mobile01.com/topicdetail.php?f=302&t=6938046,時尚
Lionel Messi x adidas Samba 全新聯乘鞋款正式登場,Lionel Messi x adidas Samba全新聯乘鞋款正式登場鞋身上「MESSI」字樣使用金色製作，腳踝下方附上 Lionel Messi 壓印標誌，整體是採阿根廷國家隊配色以及滿滿的梅西標誌喜歡Messi又喜歡Samba的鞋控可以參考一下喔,https://www.mobile01.com/topicdetail.php?f=598&t=6938645,時尚
這個愛迪達Yeezy鞋銷售網站是真的嗎,一直很想問大家，也請教各位，這個網站，網址還標明是adidas，請問它裡面賣的Yeezy 350，是真品還是假品？愛迪達台灣折扣店一雙２千多元，而且尺碼齊全，會是愛迪達分手Kanye West之後，折扣出清的嗎？也未免太便宜了吧。想請教有買過的大大。,https://www.mobile01.com/topicdetail.php?f=744&t=6938310,時尚
（5分）請問臺北市百貨公司，有什麼2000元以下，好看，100%純棉，夏季男用t恤？,（5分）請問臺北市百貨公司，有什麼2000元以下，好看，100%純棉，夏季男用t恤？,https://www.mobile01.com/topicdetail.php?f=596&t=6934888,時尚
請問，日本 jins 1.76雙非球面，有人可以分享一下嗎？,這次在日本逛街看到jins 1.76雙非球面，只要加價11000日元。而1.74非球面，不用加錢。（不知道有沒有1.74雙非可以選擇）不知道有人分享相關資訊，下次6月再來日本旅行一星期，就安排到日本第一天就去配眼鏡，就應該可以7天內拿到手了。,https://www.mobile01.com/topicdetail.php?f=595&t=6934998,時尚
「開箱」GUCCI 厚底老爹鞋 & GUCCI Tee,話說GUCCI這個款式的設計推出了好幾種不同的樣式每一種樣式設計都很好看雖然是厚底的設計但穿起來一樣的舒適不會硬梆梆的另外也買了一件小朋友的Tee現在越來越熱的氣候穿起來剛剛好,https://www.mobile01.com/topicdetail.php?f=598&t=6934720,時尚
台南眼鏡分享～我的蝦趴老爸配鏡去～多焦＋變色眼鏡,我爸有兩副眼鏡，一副近視，一副老花，每次必須戴兩副一起出門，看近的時候換成老花眼鏡，在我看來非常不方便，又佔空間！所以當同事分享說他配了多焦＋變色眼鏡，配到好只要3000元！鏡框免費送！我立刻跟我爸說這件好康！我爸原一臉不相信，說他去配一副近視就要3000元了，怎麼可能多焦＋變色只要3000元！這時候我使出小棉襖塞奶術，去看看嘛～萬一是真的不就賺到了嗎！！👇到了同事說的眼鏡行，門面就寫著挑戰史上最便宜，讓我們一探究竟到底多便宜！👇一進去就開門見山問老闆：聽說這裡配多焦＋變色眼鏡，配到好只要3000元？老闆點頭說對啊！這裡、這裡還有那裡鏡框，多焦＋變色配到好只要3000元，鏡框免費送。我和老爸兩兩相望，眼神暗示：老闆是來真的哦！多焦＋變色真的只要3000元耶！我爸也站不住了，直接跑到老闆面前問要怎麼配（哈哈終於相信了吧！迫不急待要擺脫兩副眼鏡換來換去的日子）老闆先測試老爸平常看東西的距離習慣。👇近視眼鏡看字。👇老花眼鏡看字。👇字越小越吃力，頭都快埋到書裡了👇接著驗光、配多焦鏡片。👇這時候老闆拿出一個神奇的物件！老闆說這是測眼睛焦距，看近的東西要多少距離才清楚，雖然是傳統方法，但非常實用。👇我在旁邊看著，覺得老闆很熟練，感覺已經配了好幾千副的多焦眼鏡！畢竟多焦不好配，不是老練的驗光師可配不好！要抓到你的生活習慣、抓到舒適的焦距，日常生活才能方便自如！👇配好出來走一走～老闆說剛開始一定會不適應，會覺得地板浮浮的，戴久一點適應後，沒有任何不舒服，就是非常適合自己的多焦眼鏡了。👇我爸才戴了幾分鐘，已經來去如風👇最後我們慢慢挑鏡框～我爸走斯文儒雅風，眼鏡行很多鏡框都很適合他，他也很喜歡！👇嗯……這支豹紋太狂野，PASS！！👇還是這種款式適合我爸！👇三天後我們來拿眼鏡，戴上新眼鏡就是開心！👇立刻帶我爸去外面感受太陽，變色鏡片很快變成墨鏡，一鏡三用的超值感！！（近視＋老花＋墨鏡）👇老爸騎車很有架勢哈哈帥哦！👇進大賣場採購＋挑戰看迷你字！！密密麻麻成分表～輕輕鬆鬆❤️我爸現在每天笑瞇瞇！臉上開心的小表情藏都藏不住，不用眼鏡換來換去，一副就能看遠看近！真的是救星，而且多焦＋變色配到好只要3000元，鏡框免費送！真的好值～～,https://www.mobile01.com/topicdetail.php?f=595&t=6934072,時尚
